group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,1,3,0.191854,0.0896419,0
0,215585,0.302629,286.704,1675.64,1.5,3,0.187269,0.084921,0
0,215585,0.302629,286.704,1675.64,2,3,0.1802,0.0792734,0
0,215585,0.302629,286.704,1675.64,2.5,3,0.172119,0.0732435,0
0,215585,0.302629,286.704,1675.64,3,3,0.161602,0.0666449,0
0,215585,0.302629,286.704,1675.64,3.5,3,0.150871,0.0613605,0
0,215585,0.302629,286.704,1675.64,4,3,0.139365,0.0567753,0
0,215585,0.302629,286.704,1675.64,4.5,3,0.128034,0.05368,0
0,215585,0.302629,286.704,1675.64,5,3,0.116202,0.0511688,0
0,215585,0.302629,286.704,1675.64,5.5,3,0.104327,0.0494195,0
0,215585,0.302629,286.704,1675.64,6,3,0.0920447,0.0475701,0
0,215585,0.302629,286.704,1675.64,6.5,3,0.0797308,0.0455812,0
0,215585,0.302629,286.704,1675.64,7,3,0.0672968,0.0429223,0
0,215585,0.302629,286.704,1675.64,7.5,3,0.0550416,0.0396341,0
0,215585,0.302629,286.704,1675.64,8,3,0.0430147,0.0355772,0
0,215585,0.302629,286.704,1675.64,8.5,3,0.0314587,0.0310275,0
0,215585,0.302629,286.704,1675.64,9,3,0.020459,0.0264236,0
0,215585,0.302629,286.704,1675.64,9.5,3,0.0100494,0.0227972,0
0,215585,0.302629,286.704,1675.64,10,3,9.80E-18,0.0213671,0
0,215585,0.302629,286.704,1675.64,10.5,3,-0.0100494,0.0227972,0
0,215585,0.302629,286.704,1675.64,11,3,-0.020459,0.0264236,0
0,215585,0.302629,286.704,1675.64,11.5,3,-0.0314587,0.0310275,0
0,215585,0.302629,286.704,1675.64,12,3,-0.0430147,0.0355772,0
0,215585,0.302629,286.704,1675.64,12.5,3,-0.0550416,0.0396341,0
0,215585,0.302629,286.704,1675.64,13,3,-0.0672968,0.0429223,0
0,215585,0.302629,286.704,1675.64,13.5,3,-0.0797308,0.0455812,0
0,215585,0.302629,286.704,1675.64,14,3,-0.0920447,0.0475701,0
0,215585,0.302629,286.704,1675.64,14.5,3,-0.104327,0.0494195,0
0,215585,0.302629,286.704,1675.64,15,3,-0.116202,0.0511688,0
0,215585,0.302629,286.704,1675.64,15.5,3,-0.128034,0.05368,0
0,215585,0.302629,286.704,1675.64,16,3,-0.139365,0.0567753,0
0,215585,0.302629,286.704,1675.64,16.5,3,-0.150871,0.0613605,0
0,215585,0.302629,286.704,1675.64,17,3,-0.161602,0.0666449,0
0,215585,0.302629,286.704,1675.64,17.5,3,-0.172119,0.0732435,0
0,215585,0.302629,286.704,1675.64,18,3,-0.1802,0.0792734,0
0,215585,0.302629,286.704,1675.64,18.5,3,-0.187269,0.084921,0
0,215585,0.302629,286.704,1675.64,19,3,-0.191854,0.0896419,0
